timestamp_ist,action,token_in,amount_in,token_out,amount_out,sol_inr_price,usd_inr_price,gross_inr_value,fee_inr,cost_basis_inr,realized_pnl_inr,tx_signature,route_summary,paper_mode
2026-06-13 14:01:13,BUY_JTO,USDC,36.81656800,JTO,67.70938889,51.6692,95.1200,3501.99,0.05,3501.99,0.00,,USDC->JTO (direct) [PAPER],true
2026-06-13 23:28:10,EOD_FLATTEN_JTO,JTO,67.70938889,USDC,36.11391544,50.7846,95.1200,3438.59,0.05,3501.99,-66.84,,JTO->USDC (direct) [PAPER],true
2026-06-15 03:08:17,BUY_JTO,USDC,39.90113700,JTO,72.36970889,52.3921,95.1200,3795.40,0.05,3795.40,0.00,,USDC->JTO (direct) [PAPER],true
2026-06-15 12:30:41,TAKE_PROFIT_JTO,JTO,72.36970889,USDC,43.97124174,57.8520,95.1200,4186.73,0.05,3795.40,387.15,,JTO->USDC (direct) [PAPER],true
2026-06-17 02:48:45,BUY_SOL,USDC,50.23265700,SOL,0.68016297,6976.6368,94.5600,4750.00,0.05,4750.00,0.00,,USDC->SOL (direct) [PAPER],true
2026-06-17 17:27:35,STOP_LOSS_SOL,SOL,0.68016297,USDC,48.93635166,6810.2112,94.5600,4632.05,0.05,4750.00,-122.58,,SOL->USDC (direct) [PAPER],true
2026-06-18 00:04:00,BUY_SOL,USDC,50.24859800,SOL,0.68680188,6905.4165,94.5300,4750.00,0.05,4750.00,0.00,,USDC->SOL (direct) [PAPER],true
2026-06-18 04:22:55,STOP_LOSS_SOL,SOL,0.68680188,USDC,49.29736829,6791.9805,94.5300,4664.75,0.05,4750.00,-89.92,,SOL->USDC (direct) [PAPER],true
2026-06-19 23:51:40,BUY_JTO,USDC,22.96496300,JTO,30.70806910,70.4739,94.3300,2166.28,0.05,2166.28,0.00,,USDC->JTO (direct) [PAPER],true
2026-06-20 22:36:26,EOD_FLATTEN_JTO,JTO,30.70806910,USDC,20.98638261,64.5312,94.3300,1981.63,0.05,2166.28,-186.64,,JTO->USDC (direct) [PAPER],true
2026-06-21 16:19:47,BUY_JTO,USDC,27.45358100,JTO,38.17668026,67.7667,94.3300,2589.70,0.05,2589.70,0.00,,USDC->JTO (direct) [PAPER],true
2026-06-21 20:49:31,STOP_LOSS_JTO,JTO,38.17668026,USDC,26.21640735,64.8424,94.3300,2475.47,0.05,2589.70,-116.70,,JTO->USDC (direct) [PAPER],true
2026-06-23 07:20:53,BUY_JTO,USDC,30.13526800,JTO,45.98309614,61.9870,94.6800,2853.21,0.05,2853.21,0.00,,USDC->JTO (direct) [PAPER],true
2026-06-23 18:19:04,STOP_LOSS_JTO,JTO,45.98309614,USDC,28.80256960,59.3644,94.6800,2729.76,0.05,2853.21,-126.18,,JTO->USDC (direct) [PAPER],true
2026-06-24 03:30:37,BUY_JTO,USDC,28.03917600,JTO,41.44885524,64.0253,94.7400,2656.43,0.05,2656.43,0.00,,USDC->JTO (direct) [PAPER],true
2026-06-24 21:58:55,STOP_LOSS_JTO,JTO,41.44885524,USDC,27.10114772,61.9615,94.6700,2568.23,0.05,2656.43,-90.77,,JTO->USDC (direct) [PAPER],true
2026-06-25 07:00:12,BUY_JTO,USDC,25.43486900,JTO,36.80393108,65.3602,94.6700,2407.92,0.05,2407.92,0.00,,USDC->JTO (direct) [PAPER],true
2026-06-25 23:02:44,EOD_FLATTEN_JTO,JTO,36.80393108,USDC,24.36925235,62.5617,94.3900,2302.52,0.05,2407.92,-107.71,,JTO->USDC (direct) [PAPER],true
